DP,DPNOM,DPMP,MPIO,AÑO,ÁREA GEOGRÁFICA,Total
05,Antioquia,05002,Abejorral,2032,Centros Poblados y Rural Disperso,12934
05,Antioquia,05002,Abejorral,2032,Total,23135
05,Antioquia,05002,Abejorral,2033,Cabecera Municipal,10295
05,Antioquia,05002,Abejorral,2033,Centros Poblados y Rural Disperso,13081
05,Antioquia,05002,Abejorral,2033,Total,23376
05,Antioquia,05002,Abejorral,2034,Cabecera Municipal,10377
05,Antioquia,05002,Abejorral,2034,Centros Poblados y Rural Disperso,13233
05,Antioquia,05002,Abejorral,2034,Total,23610
05,Antioquia,05002,Abejorral,2035,Cabecera Municipal,10452
05,Antioquia,05002,Abejorral,2035,Centros Poblados y Rural Disperso,13352
05,Antioquia,05002,Abejorral,2035,Total,23804
05,Antioquia,05004,Abriaquí,2018,Cabecera Municipal,824
05,Antioquia,05004,Abriaquí,2018,Centros Poblados y Rural Disperso,1871
05,Antioquia,05004,Abriaquí,2018,Total,2695
05,Antioquia,05004,Abriaquí,2019,Cabecera Municipal,833
05,Antioquia,05004,Abriaquí,2019,Centros Poblados y Rural Disperso,1877
05,Antioquia,05004,Abriaquí,2019,Total,2710
05,Antioquia,05004,Abriaquí,2020,Cabecera Municipal,847
05,Antioquia,05004,Abriaquí,2020,Centros Poblados y Rural Disperso,1888
05,Antioquia,05004,Abriaquí,2020,Total,2735
05,Antioquia,05004,Abriaquí,2021,Cabecera Municipal,910
05,Antioquia,05004,Abriaquí,2021,Centros Poblados y Rural Disperso,1867
05,Antioquia,05004,Abriaquí,2021,Total,2777
05,Antioquia,05004,Abriaquí,2022,Cabecera Municipal,959
05,Antioquia,05004,Abriaquí,2022,Centros Poblados y Rural Disperso,1861
05,Antioquia,05004,Abriaquí,2022,Total,2820
05,Antioquia,05004,Abriaquí,2023,Cabecera Municipal,1003
05,Antioquia,05004,Abriaquí,2023,Centros Poblados y Rural Disperso,1861
05,Antioquia,05004,Abriaquí,2023,Total,2864
05,Antioquia,05004,Abriaquí,2024,Cabecera Municipal,1013
05,Antioquia,05004,Abriaquí,2024,Centros Poblados y Rural Disperso,1865
05,Antioquia,05004,Abriaquí,2024,Total,2878
05,Antioquia,05004,Abriaquí,2025,Cabecera Municipal,1034
05,Antioquia,05004,Abriaquí,2025,Centros Poblados y Rural Disperso,1869
05,Antioquia,05004,Abriaquí,2025,Total,2903
05,Antioquia,05004,Abriaquí,2026,Cabecera Municipal,1054
05,Antioquia,05004,Abriaquí,2026,Centros Poblados y Rural Disperso,1872
05,Antioquia,05004,Abriaquí,2026,Total,2926
05,Antioquia,05004,Abriaquí,2027,Cabecera Municipal,1066
05,Antioquia,05004,Abriaquí,2027,Centros Poblados y Rural Disperso,1885
05,Antioquia,05004,Abriaquí,2027,Total,2951
05,Antioquia,05004,Abriaquí,2028,Cabecera Municipal,1079
05,Antioquia,05004,Abriaquí,2028,Centros Poblados y Rural Disperso,1900
05,Antioquia,05004,Abriaquí,2028,Total,2979
05,Antioquia,05004,Abriaquí,2029,Cabecera Municipal,1094
05,Antioquia,05004,Abriaquí,2029,Centros Poblados y Rural Disperso,1906
05,Antioquia,05004,Abriaquí,2029,Total,3000
05,Antioquia,05004,Abriaquí,2030,Cabecera Municipal,1107
05,Antioquia,05004,Abriaquí,2030,Centros Poblados y Rural Disperso,1934
05,Antioquia,05004,Abriaquí,2030,Total,3041
