Precipitacion,Trimestre,Ano,Ciudad
16.237448717948716,1,2019,Armenia
10.558758354218881,2,2019,Armenia
7.700480785296572,3,2019,Armenia
13.061067099567099,4,2019,Armenia
14.272157407407406,1,2020,Armenia
9.074544041867957,2,2020,Armenia
8.200148729946523,3,2020,Armenia
11.268761437908495,4,2020,Armenia
14.52387566137566,1,2021,Armenia
9.576221690590113,2,2021,Armenia
7.187695394736843,3,2021,Armenia
14.743091991341991,4,2021,Armenia
0.332,1,2019,Barranquilla
3.311368421052632,2,2019,Barranquilla
3.4458030303030305,3,2019,Barranquilla
3.79682037037037,4,2019,Barranquilla
,1,2020,Barranquilla
3.5181228433402345,2,2020,Barranquilla
5.346643458393459,3,2020,Barranquilla
10.295692929292928,4,2020,Barranquilla
1.0192698412698409,1,2021,Barranquilla
3.26549007936508,2,2021,Barranquilla
3.401172871572872,3,2021,Barranquilla
7.206285353535353,4,2021,Barranquilla
4.3828592678450695,1,2019,Bogota
5.238120553359684,2,2019,Bogota
3.219854539641944,3,2019,Bogota
5.560449252136752,4,2019,Bogota
4.945249321266969,1,2020,Bogota
5.342135277777778,2,2020,Bogota
6.109084529505582,3,2020,Bogota
4.959515901875903,4,2020,Bogota
3.9902865769496207,1,2021,Bogota
6.277957692307693,2,2021,Bogota
5.815893648763852,3,2021,Bogota
5.4171851851851835,4,2021,Bogota
25.79255555555555,1,2019,Bucaramanga
6.0102915204678355,2,2019,Bucaramanga
4.603866071428572,3,2019,Bucaramanga
8.175399698340874,4,2019,Bucaramanga
15.194608333333333,1,2020,Bucaramanga
4.253652958152959,2,2020,Bucaramanga
4.478902923976609,3,2020,Bucaramanga
7.662409812409813,4,2020,Bucaramanga
9.335034313725492,1,2021,Bucaramanga
4.256657413600892,2,2021,Bucaramanga
7.642027629233513,3,2021,Bucaramanga
10.871759259259255,4,2021,Bucaramanga
10.493088383838383,1,2019,Cali
10.70317296720061,2,2019,Cali
5.9390930735930745,3,2019,Cali
8.759810869565216,4,2019,Cali
9.76666868686869,1,2020,Cali
8.048949097755044,2,2020,Cali
5.628404761904762,3,2020,Cali
9.88998903508772,4,2020,Cali
9.139675198412695,1,2021,Cali
12.020792540792543,2,2021,Cali
8.128427777777778,3,2021,Cali
9.263403333333336,4,2021,Cali
0.2061111111111111,1,2019,Cartagena
3.3627348207348207,2,2019,Cartagena
4.074929414922169,3,2019,Cartagena
4.653837373737373,4,2019,Cartagena
0.129,1,2020,Cartagena
2.5479102564102565,2,2020,Cartagena
5.261465949820789,3,2020,Cartagena
7.131762820512821,4,2020,Cartagena
1.0154920634920634,1,2021,Cartagena
3.5233532763532764,2,2021,Cartagena
3.9911512345679014,3,2021,Cartagena
6.504927505545473,4,2021,Cartagena
5.706409722222222,1,2019,Cucuta
5.8255281781376524,2,2019,Cucuta
4.291813333333334,3,2019,Cucuta
8.500458568443051,4,2019,Cucuta
7.772304713804712,1,2020,Cucuta
3.260026666666666,2,2020,Cucuta
4.112932950191572,3,2020,Cucuta
9.446422222222225,4,2020,Cucuta
6.872128968253969,1,2021,Cucuta
5.711945107574419,2,2021,Cucuta
4.321385730211817,3,2021,Cucuta
7.402196296296296,4,2021,Cucuta
9.095394318753142,1,2019,Florencia
