Precipitacion,Trimestre,Ano,Ciudad
5.610901052631578,3,2021,Pereira
10.682229296066252,4,2021,Pereira
9.631034258844602,1,2019,Popayan
6.229539880952381,2,2019,Popayan
2.8826507936507944,3,2019,Popayan
12.087050992360965,4,2019,Popayan
12.126235526315787,1,2020,Popayan
4.493399126984127,2,2020,Popayan
4.753184776688453,3,2020,Popayan
10.149141865079367,4,2020,Popayan
9.72714500674764,1,2021,Popayan
6.720268534621577,2,2021,Popayan
3.433616666666666,3,2021,Popayan
13.300617984230726,4,2021,Popayan
8.37936855482934,1,2019,Quibdo
22.994865433472032,2,2019,Quibdo
21.672898924731182,3,2019,Quibdo
24.11434852167704,4,2019,Quibdo
7.459441102756891,1,2020,Quibdo
20.158935236682733,2,2020,Quibdo
20.473434408602152,3,2020,Quibdo
19.846019123031073,4,2020,Quibdo
16.377159047619045,1,2021,Quibdo
17.580873946360153,2,2021,Quibdo
14.488672043010752,3,2021,Quibdo
19.801086281534566,4,2021,Quibdo
1.3240380952380952,1,2019,Riohacha
3.696582907268172,2,2019,Riohacha
4.575232499999999,3,2019,Riohacha
3.641959435626103,4,2019,Riohacha
1.5981111111111108,1,2020,Riohacha
3.648217845117845,2,2020,Riohacha
4.9692263868065965,3,2020,Riohacha
7.094997013142173,4,2020,Riohacha
1.836382575757576,1,2021,Riohacha
4.0585122222222205,2,2021,Riohacha
3.5077728758169933,3,2021,Riohacha
5.066084330484332,4,2021,Riohacha
1.8591666666666664,1,2019,Santamarta
2.561149027223361,2,2019,Santamarta
4.827148768472907,3,2019,Santamarta
5.486858064516128,4,2019,Santamarta
2.1183055555555557,1,2020,Santamarta
3.1843001508295625,2,2020,Santamarta
7.539847670250896,3,2020,Santamarta
10.336444444444442,4,2020,Santamarta
2.484956349206349,1,2021,Santamarta
4.633216823406479,2,2021,Santamarta
4.975951361300916,3,2021,Santamarta
5.520473694316436,4,2021,Santamarta
1.8390833333333336,1,2019,Sincelejo
5.835457665903889,2,2019,Sincelejo
4.5760648148148135,3,2019,Sincelejo
3.926781746031745,4,2019,Sincelejo
3.2411333333333334,1,2020,Sincelejo
5.586756683375104,2,2020,Sincelejo
4.739333333333333,3,2020,Sincelejo
5.148617216117216,4,2020,Sincelejo
3.914194444444445,1,2021,Sincelejo
6.762825808249719,2,2021,Sincelejo
5.083056918390252,3,2021,Sincelejo
5.209153846153846,4,2021,Sincelejo
4.572828571428572,1,2019,Tunja
4.573452142912501,2,2019,Tunja
4.753703159041395,3,2019,Tunja
5.707334828617438,4,2019,Tunja
6.279298412698412,1,2020,Tunja
5.203042892156862,2,2020,Tunja
4.566942729419703,3,2020,Tunja
6.538912719298246,4,2020,Tunja
4.181128571428571,1,2021,Tunja
6.380455804544039,2,2021,Tunja
6.005092803030302,3,2021,Tunja
6.522933080808081,4,2021,Tunja
1.554876262626263,1,2019,Valledupar
5.530217032967033,2,2019,Valledupar
5.223932305736533,3,2019,Valledupar
5.301181876832844,4,2019,Valledupar
1.2675749158249157,1,2020,Valledupar
5.530094214029698,2,2020,Valledupar
4.8719,3,2020,Valledupar
6.270294418842808,4,2020,Valledupar
1.6170287878787881,1,2021,Valledupar
5.766040123456791,2,2021,Valledupar
3.8188466947401873,3,2021,Valledupar
5.3277442546911224,4,2021,Valledupar
4.75003896103896,1,2019,Villavicencio
20.79436363636364,2,2019,Villavicencio
19.199233686067018,3,2019,Villavicencio
10.493466666666665,4,2019,Villavicencio
5.566989976689976,1,2020,Villavicencio
18.96346352413019,2,2020,Villavicencio
16.455239011082696,3,2020,Villavicencio
10.364421652421653,4,2020,Villavicencio
6.29963404882155,1,2021,Villavicencio
21.517410714285717,2,2021,Villavicencio
20.065377290448343,3,2021,Villavicencio
7.2095987762237765,4,2021,Villavicencio
