Trimestre,Ano,Ciudad,Casos Covid
3,2021,Riohacha,613
4,2021,Riohacha,1519
1,2019,Sanandres,0
2,2019,Sanandres,0
3,2019,Sanandres,0
4,2019,Sanandres,0
1,2020,Sanandres,1
2,2020,Sanandres,19
3,2020,Sanandres,1533
4,2020,Sanandres,806
1,2021,Sanandres,312
2,2021,Sanandres,3580
3,2021,Sanandres,374
4,2021,Sanandres,1467
1,2019,Santamarta,0
2,2019,Santamarta,0
3,2019,Santamarta,0
4,2019,Santamarta,0
1,2020,Santamarta,10
2,2020,Santamarta,1051
3,2020,Santamarta,9268
4,2020,Santamarta,7431
1,2021,Santamarta,15094
2,2021,Santamarta,25747
3,2021,Santamarta,8219
4,2021,Santamarta,5566
1,2019,Sincelejo,0
2,2019,Sincelejo,0
3,2019,Sincelejo,0
4,2019,Sincelejo,0
1,2020,Sincelejo,1
2,2020,Sincelejo,1012
3,2020,Sincelejo,8300
4,2020,Sincelejo,1923
1,2021,Sincelejo,3135
2,2021,Sincelejo,17464
3,2021,Sincelejo,5174
4,2021,Sincelejo,422
1,2019,Tunja,0
2,2019,Tunja,0
3,2019,Tunja,0
4,2019,Tunja,0
1,2020,Tunja,2
2,2020,Tunja,111
3,2020,Tunja,2114
4,2020,Tunja,6618
1,2021,Tunja,5221
2,2021,Tunja,11860
3,2021,Tunja,3591
4,2021,Tunja,911
1,2019,Valledupar,0
2,2019,Valledupar,0
3,2019,Valledupar,0
4,2019,Valledupar,0
1,2020,Valledupar,11
2,2020,Valledupar,636
3,2020,Valledupar,14150
4,2020,Valledupar,8213
1,2021,Valledupar,6679
2,2021,Valledupar,27290
3,2021,Valledupar,4116
4,2021,Valledupar,3218
1,2019,Villavicencio,0
2,2019,Villavicencio,0
3,2019,Villavicencio,0
4,2019,Villavicencio,0
1,2020,Villavicencio,11
2,2020,Villavicencio,1149
3,2020,Villavicencio,11913
4,2020,Villavicencio,13153
1,2021,Villavicencio,7017
2,2021,Villavicencio,21469
3,2021,Villavicencio,7717
4,2021,Villavicencio,1358
