Trimestre,Ano,Ciudad,Incidencia
3,2021,Neiva,0.018764289602612956
4,2021,Neiva,0.0019678824169842134
1,2019,Pasto,0.0
2,2019,Pasto,0.0
3,2019,Pasto,0.0
4,2019,Pasto,0.0
1,2020,Pasto,5.09438624108164e-06
2,2020,Pasto,0.0017168081632445127
3,2020,Pasto,0.02435371342549078
4,2020,Pasto,0.024646640634352974
1,2021,Pasto,0.020605399842574642
2,2021,Pasto,0.04022243336806201
3,2021,Pasto,0.01366390960014469
4,2021,Pasto,0.003097560416438468
1,2019,Pereira,0.0
2,2019,Pereira,0.0
3,2019,Pereira,0.0
4,2019,Pereira,0.0
1,2020,Pereira,5.2407934980619547e-05
2,2020,Pereira,0.0005345609368023193
3,2020,Pereira,0.01643512840992229
4,2020,Pereira,0.03261660241453838
1,2021,Pereira,0.019323922687670417
2,2021,Pereira,0.03712331245853291
3,2021,Pereira,0.01378527172251421
4,2021,Pereira,0.004086912935235429
1,2019,Popayan,0.0
2,2019,Popayan,0.0
3,2019,Popayan,0.0
4,2019,Popayan,0.0
1,2020,Popayan,2.765172347047564e-05
2,2020,Popayan,0.00042092067949501806
3,2020,Popayan,0.019663447801227123
4,2020,Popayan,0.02190323740233565
1,2021,Popayan,0.019360697753086343
2,2021,Popayan,0.024846177991643785
3,2021,Popayan,0.02060712076284745
4,2021,Popayan,0.0035350872648481284
1,2019,Quibdo,0.0
2,2019,Quibdo,0.0
3,2019,Quibdo,0.0
4,2019,Quibdo,0.0
1,2020,Quibdo,0.0
2,2020,Quibdo,0.009730556086374928
3,2020,Quibdo,0.01052551117905599
4,2020,Quibdo,0.004739155360214026
1,2021,Quibdo,0.009773592344903933
2,2021,Quibdo,0.040171056821800645
3,2021,Quibdo,0.005838375566777368
4,2021,Quibdo,0.0007809775108806091
1,2019,Riohacha,0.0
2,2019,Riohacha,0.0
3,2019,Riohacha,0.0
4,2019,Riohacha,0.0
1,2020,Riohacha,4.954443888445741e-06
2,2020,Riohacha,0.0004161732866294423
3,2020,Riohacha,0.015393457161400918
4,2020,Riohacha,0.012846873002739807
1,2021,Riohacha,0.011509676169254244
2,2021,Riohacha,0.04275922203114782
3,2021,Riohacha,0.0029694576985491803
4,2021,Riohacha,0.007358248359047642
1,2019,Sanandres,0.0
2,2019,Sanandres,0.0
3,2019,Sanandres,0.0
4,2019,Sanandres,0.0
1,2020,Sanandres,1.741159263837863e-05
2,2020,Sanandres,0.000330820260129194
3,2020,Sanandres,0.026691971514634445
4,2020,Sanandres,0.014033743666533177
1,2021,Sanandres,0.005350161190753824
2,2021,Sanandres,0.061389670073393236
3,2021,Sanandres,0.006413334247890802
4,2021,Sanandres,0.025156046368063654
1,2019,Santamarta,0.0
2,2019,Santamarta,0.0
3,2019,Santamarta,0.0
4,2019,Santamarta,0.0
1,2020,Santamarta,1.85662406333316e-05
2,2020,Santamarta,0.0019513118905631513
3,2020,Santamarta,0.017207191818971727
4,2020,Santamarta,0.013796573414628713
1,2021,Santamarta,0.02759520932247856
2,2021,Santamarta,0.04707127695944451
3,2021,Santamarta,0.015026171023019166
4,2021,Santamarta,0.010175893407242325
1,2019,Sincelejo,0.0
2,2019,Sincelejo,0.0
3,2019,Sincelejo,0.0
4,2019,Sincelejo,0.0
1,2020,Sincelejo,3.4019275321397104e-06
2,2020,Sincelejo,0.003442750662525387
3,2020,Sincelejo,0.028235998516759595
4,2020,Sincelejo,0.006541906644304663
1,2021,Sincelejo,0.010517945930712402
2,2021,Sincelejo,0.058591836597754826
3,2021,Sincelejo,0.017358804544021042
4,2021,Sincelejo,0.0014158128174675067
1,2019,Tunja,0.0
2,2019,Tunja,0.0
3,2019,Tunja,0.0
4,2019,Tunja,0.0
1,2020,Tunja,1.1156791976035211e-05
2,2020,Tunja,0.0006192019546699542
3,2020,Tunja,0.011792729118669219
4,2020,Tunja,0.03691782464870051
1,2021,Tunja,0.028914314828762572
