Vulnerabilidad_numero,U_MPIO,U_DPTO,Nom_DPTO,CASA,APTO,TIP_CUARTO,VIV_TRAD_INDIG,VIV_TRAD_ETNICA,OTRA_VIV,1-DOR,2-DOR,3-DOR,4-DOR,Mas de 4 dor,No informa Num_dormit,0-FALL,1-FALL,2-FALL,Mas de 2 fall,1-PER,2-PER,3-PER,4-PER,Mas de 4 per,Fall_Hombre,Fall_Mujer,No informa sexo fall,No informa edad fall,Fall_P_Infancia,Fall_Infancia,Fall_Juv-Adoles,Fall_Adultez,Fall_Per_Mayor,Per_Hombre,Per_Mujer,Per_edad_0 a 4,Per_edad_5 a 9,Per_edad_10 a 14,Per_edad_15 a 19,Per_edad_20 a 24,Per_edad_25 a 29,Per_edad_30 a 34,Per_edad_35 a 39,Per_edad_40 a 44,Per_edad_45 a 49,Per_edad_50 a 54,Per_edad_55 a 59,Per_edad_Mas de 60,Indigena,Gitano o Rrom,Raizal del Archi SAPSC,Palenquero de San Basilio,"Negro, mulato, afrodescendiente, afrocolombiano",Ningun grupo etnico,No informa grupo etnico,Habla lengua Nativa,No habla lengua nativa,No informa lengua nativa,No aplica lengua nativa,Habla otra lengua,No habla otra lengua,No informa otra lengua,No aplica otra lengua,CSS muy bueno,CSS bueno,CSS malo,CSS muy malo,CSS No Aplica,Lee_y_Escribe,NoLee_y_Escribe,No_informa_Alfabeta,No Aplica P_ALFABETA,Preescolar,Primaria,Secundaria,Media_Academica,Media_tecnica,Normalista,Tecnica_Profesional,Universitario,Posgrado,Ninguno,No_inf_escolaridad,No Aplica P_NIVEL_ANOSR,No informa ingresos,Recibe ingresos,No recibe ingresos,No Aplica ingresos
1.0,800,27,Choco,4208,185,96,145,14,2,1409,1394,507,144,31,256,3691,45,4,1,884,646,722,601,888,35.0,21.0,0.0,0.0,5.0,2.0,12.0,23.0,14.0,6290,5902,1293,1565,1573,1228,940,906,811,776,666,607,449,403,975,1061,1,7,5,9291,950,877,889,73,112,11118,27,889,158,11118,23,560,85,17,11507,8995,1411,493,1293,492,4147,2125,1483,189,89,461,208,62,955,688,1293,536,3487,5311,2858
1.0,810,27,Choco,2506,44,46,35,2,9,488,713,576,167,64,34,1984,56,2,0,474,382,402,331,453,28.0,32.0,0.0,0.0,8.0,0.0,4.0,17.0,31.0,3238,3352,596,692,704,584,588,598,608,447,342,276,300,245,610,199,0,1,1,5710,481,198,176,25,0,6389,57,144,0,6389,36,507,107,23,5917,5083,708,203,596,235,2035,1031,1164,87,31,398,369,35,399,210,596,91,2030,3049,1420
1.0,1,41,Huila,87874,37453,2320,74,15,268,25432,37479,32137,4881,1001,812,100002,1660,62,18,17094,22048,24826,21534,16240,1033.0,816.0,1.0,2.0,97.0,16.0,125.0,408.0,1202.0,150525,164001,23065,24050,23719,26410,28007,26161,23875,22830,19764,18826,18766,17068,41985,1022,7,21,11,1964,307053,4448,244,808,4,313470,33,1016,7,313470,2236,17033,4485,1531,289241,274101,12570,4790,23065,7066,73795,47145,67263,4644,1148,22594,41884,11640,8317,5965,23065,5616,132604,128097,48209
1.0,6,41,Huila,8586,367,244,3,5,10,2423,2835,1575,360,66,15,7142,126,5,1,1158,1255,1633,1505,1723,89.0,53.0,0.0,0.0,11.0,2.0,13.0,35.0,81.0,12744,11818,2276,2453,2915,2778,2175,1910,1747,1721,1354,1206,1070,870,2087,238,2,3,0,103,24138,78,72,171,0,24319,12,230,1,24319,56,948,265,263,23030,20754,1424,108,2276,571,11182,4693,3651,154,52,420,408,71,948,136,2276,282,8680,10871,4729
1.0,13,41,Huila,3124,101,57,1,0,12,679,1165,545,125,25,6,2473,71,1,0,423,484,515,494,629,43.0,30.0,0.0,0.0,3.0,0.0,10.0,12.0,48.0,4278,4315,716,772,830,907,712,634,588,541,454,446,428,396,1169,25,1,0,1,15,8508,43,9,16,2,8566,1,24,2,8566,74,858,204,42,7415,6979,840,58,716,244,3541,1390,1479,88,18,266,183,69,507,92,716,147,2646,4297,1503
1.0,16,41,Huila,5561,133,94,1,0,31,1602,1944,896,130,18,17,4524,80,2,1,710,981,1098,987,831,47.0,45.0,0.0,0.0,8.0,4.0,9.0,19.0,52.0,7360,7457,1260,1289,1343,1421,1271,1099,1001,948,836,871,838,674,1966,7,0,2,0,26,14707,75,5,4,0,14808,1,8,0,14808,49,921,419,43,13385,12162,1306,89,1260,441,5080,2523,3369,115,25,485,527,66,798,128,1260,192,4775,7124,2726
1.0,20,41,Huila,7327,304,378,0,4,17,2600,2774,1107,151,31,39,6581,112,9,0,1289,1531,1582,1273,1027,73.0,57.0,0.0,0.0,3.0,3.0,12.0,33.0,79.0,10446,9813,1534,1783,2116,2231,1748,1481,1422,1263,1141,1103,1017,940,2480,13,1,0,0,23,19891,331,7,7,0,20245,1,13,0,20245,67,1250,348,67,18527,16613,1806,306,1534,533,8787,3418,3037,110,23,351,594,111,1412,349,1534,208,7492,8998,3561
1.0,26,41,Huila,1409,84,100,0,2,2,614,513,196,39,4,9,1351,22,2,0,306,359,307,241,162,13.0,13.0,0.0,0.0,2.0,0.0,1.0,7.0,16.0,2294,1875,280,283,327,561,452,260,244,253,220,243,240,233,573,3,0,0,0,6,3788,372,0,1,2,4166,0,1,2,4166,27,321,32,1,3788,3277,235,377,280,84,1407,701,801,40,10,152,144,45,120,385,280,39,1307,1901,922
5.0,78,41,Huila,2508,40,14,1,0,13,769,901,430,99,15,13,2198,26,2,1,504,534,480,388,321,19.0,14.0,0.0,0.0,1.0,1.0,2.0,10.0,19.0,3600,3079,412,509,643,788,601,426,384,366,377,404,406,358,1005,5,1,0,0,19,6419,235,0,2,0,6677,0,2,0,6677,12,61,15,1,6590,5271,752,244,412,128,2725,1231,1060,51,7,117,140,32,524,252,412,129,1465,3882,1203
3.0,132,41,Huila,9898,998,400,2,0,16,3849,3870,1906,299,60,29,9767,236,8,2,1841,2262,2414,1976,1520,149.0,108.0,1.0,1.0,10.0,2.0,32.0,53.0,160.0,14973,15210,2254,2333,2662,2690,2494,2328,2080,1986,1797,1854,1842,1666,4197,91,1,0,0,61,29795,235,37,53,2,30091,18,69,5,30091,147,2520,682,107,26727,25456,2247,226,2254,584,10741,5432,5622,349,64,1608,1356,251,1640,282,2254,378,11802,13315,4688
