Vulnerabilidad_numero,U_MPIO,U_DPTO,Nom_DPTO,CASA,APTO,TIP_CUARTO,VIV_TRAD_INDIG,VIV_TRAD_ETNICA,OTRA_VIV,1-DOR,2-DOR,3-DOR,4-DOR,Mas de 4 dor,No informa Num_dormit,0-FALL,1-FALL,2-FALL,Mas de 2 fall,1-PER,2-PER,3-PER,4-PER,Mas de 4 per,Fall_Hombre,Fall_Mujer,No informa sexo fall,No informa edad fall,Fall_P_Infancia,Fall_Infancia,Fall_Juv-Adoles,Fall_Adultez,Fall_Per_Mayor,Per_Hombre,Per_Mujer,Per_edad_0 a 4,Per_edad_5 a 9,Per_edad_10 a 14,Per_edad_15 a 19,Per_edad_20 a 24,Per_edad_25 a 29,Per_edad_30 a 34,Per_edad_35 a 39,Per_edad_40 a 44,Per_edad_45 a 49,Per_edad_50 a 54,Per_edad_55 a 59,Per_edad_Mas de 60,Indigena,Gitano o Rrom,Raizal del Archi SAPSC,Palenquero de San Basilio,"Negro, mulato, afrodescendiente, afrocolombiano",Ningun grupo etnico,No informa grupo etnico,Habla lengua Nativa,No habla lengua nativa,No informa lengua nativa,No aplica lengua nativa,Habla otra lengua,No habla otra lengua,No informa otra lengua,No aplica otra lengua,CSS muy bueno,CSS bueno,CSS malo,CSS muy malo,CSS No Aplica,Lee_y_Escribe,NoLee_y_Escribe,No_informa_Alfabeta,No Aplica P_ALFABETA,Preescolar,Primaria,Secundaria,Media_Academica,Media_tecnica,Normalista,Tecnica_Profesional,Universitario,Posgrado,Ninguno,No_inf_escolaridad,No Aplica P_NIVEL_ANOSR,No informa ingresos,Recibe ingresos,No recibe ingresos,No Aplica ingresos
2.0,1,5,Antioquia,355252,514187,22005,70,94,1313,205922,300843,233206,56595,14566,5131,805697,10080,364,122,167099,194750,199197,147613,107604,6353.0,5021.0,8.0,13.0,940.0,74.0,712.0,2341.0,7302.0,1115273,1257057,122409,130298,153496,184184,226773,222810,194886,180924,146411,145382,157533,142210,365014,2071,48,314,63,59064,2279605,31165,879,1507,24,2369920,345,2025,40,2369920,42383,111238,22462,8515,2187732,2143618,75092,31211,122409,39719,520432,361940,585755,31199,12691,245278,280569,82299,54515,35524,122409,38570,1155530,914201,264029
1.0,2,5,Antioquia,7891,522,92,1,0,7,2292,2451,1035,199,47,6,5924,102,4,0,1372,1321,1366,1099,872,60.0,50.0,0.0,0.0,0.0,0.0,2.0,22.0,86.0,9139,8460,923,1135,1490,1606,1232,1084,1046,1256,1178,1079,1134,1102,3334,2,0,0,0,62,17428,107,2,0,0,17597,0,2,0,17597,381,1179,146,25,15868,14815,1740,121,923,317,9064,2783,1931,195,127,433,304,149,1230,143,923,235,7220,8060,2084
1.0,4,5,Antioquia,883,118,54,0,0,2,253,356,141,17,10,0,766,11,0,0,215,158,165,135,104,9.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,1171,988,131,135,169,212,176,125,153,154,141,125,153,126,359,0,1,0,0,43,2091,24,0,1,0,2158,0,1,0,2158,51,64,4,4,2036,1860,145,23,131,31,884,337,378,60,24,107,58,23,99,27,131,32,819,1024,284
1.0,21,5,Antioquia,1431,690,33,0,0,3,476,555,282,52,16,5,1377,9,0,0,350,317,310,233,176,4.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,1912,1927,253,283,321,322,263,256,261,291,195,220,256,236,682,0,0,0,0,12,3797,30,0,0,0,3839,0,0,0,3839,37,93,5,3,3701,3210,336,40,253,117,1771,573,486,62,14,214,112,28,166,43,253,66,1456,1768,549
1.0,30,5,Antioquia,7892,3572,167,1,0,15,2749,3737,1910,376,113,8,8705,171,14,3,1497,2090,2380,1698,1228,124.0,85.0,0.0,0.0,6.0,0.0,18.0,62.0,123.0,13242,13579,1455,1587,1996,2290,2321,2286,1892,2025,1572,1793,1904,1700,4000,9,2,0,3,125,26608,74,1,13,0,26807,0,14,0,26807,558,1488,249,76,24450,23215,2061,90,1455,451,9529,5155,5653,243,226,1600,792,189,1400,128,1455,235,11472,11939,3175
1.0,31,5,Antioquia,6702,1532,218,0,1,183,2251,2366,1635,435,109,9,6693,107,4,1,1581,1407,1540,1185,1092,79.0,39.0,0.0,0.0,14.0,0.0,12.0,36.0,56.0,10177,10088,1317,1662,1980,2110,1721,1631,1464,1407,1102,1194,1214,954,2509,2,1,0,0,102,20043,117,1,2,0,20262,0,3,0,20262,192,1534,183,30,18326,16752,2068,128,1317,383,8338,3519,3062,129,51,886,480,137,1785,178,1317,279,7894,8989,3103
1.0,34,5,Antioquia,9841,4328,337,38,0,29,3545,5132,2944,545,90,7,12034,220,8,1,2297,2791,2960,2314,1901,159.0,80.0,0.0,0.0,9.0,2.0,23.0,55.0,150.0,19777,18367,2207,2613,3006,3457,3321,2873,2630,2689,2508,2396,2345,2173,5926,248,0,2,1,225,37145,523,183,53,0,37908,48,188,0,37908,374,2188,456,112,35014,31404,3845,688,2207,595,16003,6255,6223,430,76,1300,1280,273,2873,629,2207,561,15208,16462,5913
1.0,36,5,Antioquia,1886,430,17,0,0,4,648,737,272,55,9,2,1656,61,6,0,355,426,419,278,245,44.0,29.0,0.0,0.0,2.0,0.0,2.0,19.0,50.0,2538,2489,280,333,403,465,396,369,343,332,308,310,315,334,839,3,0,0,0,27,4987,10,3,0,0,5024,3,0,0,5024,125,837,89,22,3954,4250,481,16,280,140,2135,881,799,15,15,283,81,18,357,23,280,34,2143,2223,627
1.0,38,5,Antioquia,3826,281,50,0,0,6,1216,1434,533,107,18,8,3233,80,3,0,538,705,821,635,617,52.0,34.0,0.0,0.0,4.0,1.0,7.0,21.0,53.0,5327,5173,700,806,1019,1098,891,803,741,730,612,575,546,567,1412,0,4,0,4,49,10419,24,7,1,0,10492,0,8,0,10492,91,727,120,22,9540,8435,1332,33,700,223,4898,1643,1384,159,27,264,140,32,950,80,700,69,3656,5269,1506
5.0,40,5,Antioquia,4915,1163,458,10,1,5,1693,1852,931,191,43,33,4659,80,3,1,1079,918,1091,795,860,61.0,28.0,0.0,0.0,11.0,0.0,13.0,22.0,43.0,7504,6998,1118,1408,1594,1485,1336,1325,1130,951,793,776,693,546,1347,167,0,0,0,244,14002,89,30,135,2,14335,18,147,2,14335,74,905,119,23,13381,11725,1577,82,1118,451,6463,2242,1921,312,28,410,213,65,1162,117,1118,161,5136,6654,2551
1.0,42,5,Antioquia,8697,2680,201,1,5,28,3123,3282,1356,231,90,17,7972,123,4,0,1884,1904,1883,1372,1056,76.0,55.0,0.0,0.0,4.0,1.0,8.0,33.0,85.0,11537,11679,1412,1546,2023,2053,2003,1879,1853,1745,1412,1375,1381,1227,3307,24,0,64,0,705,22249,174,6,16,1,23193,3,19,1,23193,312,1837,218,81,20768,19578,2013,213,1412,483,8300,3886,4489,158,36,1590,821,203,1604,234,1412,437,9657,9921,3201
1.0,44,5,Antioquia,2789,94,86,0,0,4,708,1049,303,50,2,2,2087,27,0,0,428,439,487,418,342,14.0,13.0,0.0,0.0,5.0,0.0,2.0,5.0,15.0,3304,3084,433,485,581,681,516,464,456,464,404,406,347,306,845,2,0,0,0,22,6328,36,0,2,0,6386,0,2,0,6386,36,272,41,3,6036,5020,881,54,433,134,2951,972,826,26,10,144,84,24,720,64,433,83,2545,2841,919
1.0,45,5,Antioquia,18135,18535,3433,77,10,61,13032,14579,6970,1133,194,165,35461,576,34,2,6613,7418,8660,6967,6415,383.0,267.0,0.0,0.0,40.0,4.0,114.0,188.0,304.0,55847,57622,8765,9475,11431,11481,10900,10670,9638,8485,6963,6494,5796,4688,8683,810,2,32,8,42854,68963,800,492,351,5,112621,441,402,5,112621,789,5868,1624,622,104566,96715,6896,1093,8765,2761,30425,20989,27435,695,210,9456,5438,1270,4875,1150,8765,1336,41998,50824,19311
1.0,51,5,Antioquia,7512,807,116,2,3,3,2733,3278,1383,237,61,9,7562,127,10,2,1069,1498,1748,1550,1836,85.0,74.0,0.0,1.0,13.0,1.0,12.0,43.0,89.0,13224,13065,2162,2512,3045,2816,1868,1799,1714,1685,1581,1475,1344,1173,3115,958,2,8,3,7100,18098,120,209,761,1,25318,11,959,1,25318,66,1015,256,66,24886,20831,3141,155,2162,655,8841,5173,4271,183,340,1196,654,136,2489,189,2162,239,6904,14463,4683
5.0,55,5,Antioquia,2837,381,57,2,0,4,783,942,453,70,20,0,2218,45,3,2,505,489,515,365,394,33.0,24.0,0.0,0.0,3.0,2.0,7.0,9.0,36.0,3494,3258,461,593,663,707,492,437,472,460,379,359,375,322,1032,2,0,0,0,57,6628,65,1,1,0,6750,0,2,0,6750,31,171,45,18,6487,5567,665,59,461,147,3127,1166,962,69,22,158,111,34,423,72,461,109,2525,3045,1073
1.0,59,5,Antioquia,1889,158,37,0,0,2,667,640,205,41,16,9,1550,26,2,0,392,532,380,186,88,12.0,18.0,0.0,0.0,2.0,1.0,2.0,2.0,23.0,1912,1907,168,236,266,301,211,192,216,239,225,254,299,298,914,3,0,0,0,7,3804,5,0,3,0,3816,0,3,0,3816,44,145,39,6,3585,3009,631,11,168,81,1726,563,490,40,12,95,65,21,540,18,168,34,1432,1947,406
1.0,79,5,Antioquia,13377,5570,261,2,1,21,4229,7178,3692,790,228,25,15866,266,7,3,3941,3710,3784,2812,1895,169.0,124.0,1.0,1.0,20.0,3.0,28.0,72.0,170.0,22208,22549,2242,2606,3304,3742,3824,3648,3276,3349,2858,3143,3185,2682,6898,20,1,0,0,230,44279,227,9,12,0,44736,4,17,0,44736,778,2446,876,225,40432,39629,2648,238,2242,705,15087,6869,11053,756,151,3561,1840,317,1850,326,2242,453,20521,18807,4976
1.0,86,5,Antioquia,2156,105,33,0,1,0,477,706,310,63,6,1,1540,23,0,0,228,277,341,345,372,16.0,7.0,0.0,0.0,3.0,0.0,0.0,9.0,11.0,2719,2630,335,410,525,587,495,362,347,364,354,382,307,261,620,1,0,0,0,2098,3228,22,1,0,0,5348,0,1,0,5348,52,250,40,8,4999,4574,408,32,335,128,2212,978,1012,55,17,239,88,25,216,44,335,73,2117,2414,745
2.0,88,5,Antioquia,50680,121867,3331,7,18,161,37031,59490,52625,9669,2094,814,159705,1934,61,23,29478,36979,42259,31620,21387,1191.0,957.0,0.0,0.0,146.0,8.0,147.0,562.0,1285.0,232004,249897,26965,28700,33282,39033,47493,47698,42549,38926,30334,29393,30915,26604,60009,303,9,58,17,9272,465795,6447,151,225,3,481522,53,322,4,481522,7146,24920,5268,2245,442322,433513,14491,6932,26965,8364,108665,79444,126012,5488,1805,58799,42276,7518,9165,7400,26965,7988,222727,191375,59811
1.0,91,5,Antioquia,2977,602,74,0,1,2,865,1058,573,139,26,2,2614,49,0,0,463,539,587,546,528,31.0,18.0,0.0,0.0,0.0,0.0,2.0,16.0,31.0,4477,4112,533,626,800,869,684,596,526,592,522,544,504,500,1293,32,0,0,0,64,8471,22,13,19,0,8557,8,24,0,8557,205,446,65,21,7852,6947,1079,30,533,196,4026,1356,1043,54,19,251,174,35,858,44,533,99,3250,4081,1159
1.0,93,5,Antioquia,5596,908,122,1,0,7,1594,2145,829,131,27,29,4652,95,8,0,760,994,1204,943,854,56.0,55.0,0.0,0.0,4.0,2.0,10.0,26.0,69.0,7757,7340,1048,1192,1500,1586,1221,1147,973,1020,949,967,878,767,1849,27,0,0,0,71,14912,87,17,10,0,15070,8,19,0,15070,153,744,185,59,13956,11735,2212,102,1048,317,7066,2418,1894,114,30,329,161,47,1524,149,1048,167,5876,6787,2267
1.0,101,5,Antioquia,5661,3426,271,10,1,11,2454,2962,1665,335,78,6,7323,162,14,1,1417,1691,1729,1348,1315,117.0,76.0,0.0,0.0,4.0,0.0,18.0,40.0,131.0,11682,11679,1309,1662,1913,2109,1753,1761,1515,1606,1384,1400,1648,1405,3896,255,0,0,0,191,22829,86,231,22,0,23108,216,37,0,23108,312,1190,203,53,21603,19357,2551,144,1309,498,9564,3955,3943,111,37,965,676,177,1941,185,1309,219,9409,10489,3244
1.0,107,5,Antioquia,2257,324,53,0,0,12,799,878,304,27,16,8,1942,79,11,0,514,418,406,358,336,73.0,28.0,0.0,0.0,1.0,0.0,17.0,34.0,49.0,3071,2875,444,593,728,599,511,445,438,416,327,301,303,262,579,3,0,0,1,30,5891,21,3,1,0,5942,2,2,0,5942,27,232,43,9,5635,4685,788,29,444,213,2725,875,584,30,12,232,135,19,646,31,444,38,1279,3592,1037
1.0,113,5,Antioquia,2366,347,137,1,0,2,946,788,367,83,29,3,2169,46,1,0,435,420,480,360,521,32.0,16.0,0.0,0.0,3.0,0.0,11.0,5.0,29.0,3875,3534,539,643,694,749,674,598,538,513,421,395,387,303,955,0,0,0,0,27,7333,49,0,0,0,7409,0,0,0,7409,23,381,96,41,6868,5991,818,61,539,151,3332,1191,1122,84,12,169,92,28,620,69,539,94,2546,3550,1219
1.0,120,5,Antioquia,8642,461,314,6,2,11,3112,3243,996,193,46,8,7378,209,8,3,1414,1301,1476,1395,2012,140.0,94.0,0.0,0.0,17.0,2.0,29.0,63.0,123.0,13794,12666,2381,2940,3360,2940,2185,1800,1775,1645,1369,1366,1190,1053,2456,1674,0,3,0,594,23824,365,1082,594,0,24784,23,1652,1,24784,167,1460,282,119,24432,19589,4071,419,2381,940,10467,4887,3241,139,38,533,228,62,3061,483,2381,176,8089,12536,5659
1.0,125,5,Antioquia,2731,240,163,0,0,2,886,1050,277,41,7,36,2240,54,3,0,406,491,579,439,382,35.0,25.0,0.0,0.0,1.0,0.0,3.0,21.0,35.0,3536,3482,515,582,700,707,579,588,499,514,434,401,393,282,824,1,0,0,0,16,6930,71,1,0,0,7017,1,0,0,7017,85,544,76,23,6290,5626,829,48,515,209,3371,1040,915,31,15,186,127,44,509,56,515,83,2034,3801,1100
1.0,129,5,Antioquia,8940,17193,380,1,1,41,6617,9469,6483,1446,373,108,24131,357,8,0,3788,5521,6458,4898,3831,193.0,180.0,0.0,0.0,8.0,1.0,9.0,76.0,279.0,36587,39673,3526,3872,4671,5625,6917,6845,5968,5964,4833,5272,5564,5099,12104,49,0,0,5,408,75108,690,4,24,0,76232,1,27,0,76232,1538,6712,1297,348,66365,69479,2600,655,3526,1195,20822,12436,19930,992,171,8562,5021,932,1849,824,3526,902,38007,29688,7663
1.0,134,5,Antioquia,2761,266,65,0,0,5,718,1000,396,67,28,4,2145,64,4,0,379,437,489,435,473,46.0,26.0,0.0,0.0,1.0,0.0,11.0,14.0,46.0,3835,3597,482,675,828,818,620,494,502,512,402,398,382,370,949,0,0,0,0,22,7348,62,0,0,0,7432,0,0,0,7432,78,522,48,15,6769,5817,1067,66,482,203,3772,999,773,47,16,177,77,24,786,76,482,101,2772,3372,1187
1.0,138,5,Antioquia,4468,789,76,4,6,14,1635,1963,634,156,29,4,4309,107,3,2,959,928,945,790,799,63.0,57.0,0.0,0.0,4.0,0.0,9.0,37.0,70.0,6882,6713,864,1011,1266,1307,1087,929,851,901,756,781,808,725,2309,3,1,1,0,45,13458,87,2,3,0,13590,1,4,0,13590,107,794,166,23,12505,11233,1392,106,864,204,5444,2177,2782,123,36,441,217,92,1087,128,864,311,4712,6665,1907
1.0,142,5,Antioquia,1842,219,35,0,0,5,540,596,274,74,18,0,1468,30,4,0,394,410,333,203,162,21.0,17.0,0.0,0.0,0.0,0.0,2.0,9.0,27.0,2007,1960,220,271,289,294,286,255,257,228,218,268,272,295,814,0,0,0,0,12,3943,12,0,0,0,3967,0,0,0,3967,44,130,15,3,3775,3319,407,21,220,69,1744,592,628,64,10,195,65,30,317,33,220,51,1760,1653,503
1.0,145,5,Antioquia,1970,93,11,1,0,1,583,650,225,50,11,7,1473,50,3,0,321,391,367,272,175,26.0,30.0,0.0,0.0,2.0,0.0,3.0,13.0,38.0,2148,2121,185,288,361,334,273,254,262,320,269,280,306,281,856,1,0,0,0,15,4233,20,0,1,0,4268,0,1,0,4268,44,281,19,3,3922,3711,348,25,185,80,2049,735,652,41,13,152,81,37,212,32,185,33,1614,2149,473
1.0,147,5,Antioquia,11268,4532,826,0,7,43,4952,6351,2254,364,80,36,13881,148,7,1,2461,2607,3320,2883,2766,97.0,68.0,0.0,0.0,13.0,1.0,23.0,45.0,83.0,22989,22947,3698,4296,5028,5363,4384,4028,3782,3499,2637,2313,2008,1719,3181,68,1,1,1,11371,33585,909,30,40,1,45865,18,52,1,45865,162,1320,361,91,44002,37721,3548,969,3698,1067,13927,9224,8821,494,1257,2385,1363,288,2316,1096,3698,611,15794,20902,8629
1.0,148,5,Antioquia,15279,6120,449,0,2,17,4833,6637,4419,856,160,15,16731,185,4,0,2337,3519,4455,3992,2617,124.0,69.0,0.0,0.0,8.0,0.0,19.0,46.0,120.0,26712,27237,3612,3588,4269,4599,5124,4703,4349,4342,3619,3276,3113,2754,6601,28,0,0,0,156,53630,135,9,17,0,53923,6,20,0,53923,587,2916,792,212,49442,47047,3136,154,3612,1358,16465,8651,13187,664,141,3937,3517,735,1455,227,3612,278,26037,20104,7530
1.0,150,5,Antioquia,1568,117,38,0,0,6,482,516,228,34,14,25,1251,45,3,0,368,329,287,208,107,29.0,22.0,0.0,0.0,4.0,0.0,1.0,10.0,36.0,1646,1697,129,165,231,277,193,249,224,211,188,233,282,249,712,8,1,0,0,38,3267,29,5,4,0,3334,1,8,0,3334,49,162,33,13,3086,2959,223,32,129,36,1054,621,755,58,21,247,156,62,161,43,129,83,1315,1628,317
1.0,154,5,Antioquia,19830,9065,1583,60,8,73,8814,10814,4879,598,96,134,24875,443,14,3,3866,4770,5807,5278,5614,296.0,184.0,0.0,0.0,29.0,4.0,48.0,139.0,260.0,41026,43691,7147,7655,8971,8395,7473,6956,6483,5877,4763,4571,4392,3726,8308,1077,1,4,1,3442,79626,566,148,932,1,83636,32,1047,2,83636,264,2320,779,445,80909,69877,6984,709,7147,2120,25249,15976,17238,881,286,5690,3194,816,5311,809,7147,1163,30684,37829,15041
3.0,172,5,Antioquia,12741,5336,1141,305,27,13,5409,7407,3477,504,86,46,16669,246,13,1,2847,3176,3994,3365,3547,160.0,117.0,0.0,0.0,35.0,6.0,31.0,62.0,143.0,26887,28677,4537,5147,6181,6073,5296,4695,4236,3967,3120,2980,2570,2145,4617,2220,1,1,3,27532,25551,256,2036,187,2,53339,1348,875,2,53339,176,2295,401,78,52614,45305,5409,313,4537,1268,16911,10907,12242,486,102,2851,1466,306,3965,523,4537,709,18752,26414,9689
1.0,190,5,Antioquia,3413,464,73,0,0,2,943,1509,605,114,35,3,3134,72,2,1,692,830,803,530,354,44.0,35.0,0.0,0.0,4.0,1.0,6.0,21.0,47.0,4270,4640,490,556,719,684,636,679,594,577,515,545,642,587,1686,6,0,0,0,110,8719,75,2,4,0,8904,0,6,0,8904,64,194,36,3,8613,7892,468,60,490,141,3175,1437,2135,116,41,617,206,92,372,88,490,193,3215,4437,1065
1.0,197,5,Antioquia,6409,1874,231,1,9,17,1896,2130,894,143,36,14,5000,107,5,1,1131,1275,1105,850,752,71.0,54.0,0.0,0.0,17.0,0.0,7.0,24.0,77.0,7283,7460,1052,1147,1231,1316,1119,966,912,993,786,864,912,886,2559,0,0,0,1,85,14588,69,1,0,0,14742,0,1,0,14742,280,1494,298,24,12647,12127,1481,83,1052,346,6477,2398,2137,178,20,525,316,113,1055,126,1052,274,4950,7284,2235
1.0,206,5,Antioquia,2287,355,31,0,0,6,456,634,256,43,14,4,1383,23,1,0,323,355,311,259,159,16.0,9.0,0.0,0.0,0.0,0.0,3.0,4.0,18.0,2023,1913,216,253,303,311,287,239,201,274,267,255,277,274,779,0,0,0,0,12,3905,19,0,0,0,3936,0,0,0,3936,58,87,19,0,3772,3393,303,24,216,80,1763,590,662,43,16,208,98,26,195,39,216,47,1633,1753,503
1.0,209,5,Antioquia,5184,1504,195,0,0,3,1862,2234,969,184,50,13,5217,91,4,0,1011,1195,1327,912,867,58.0,41.0,0.0,0.0,1.0,0.0,11.0,26.0,61.0,8022,8073,907,1044,1397,1556,1242,1155,981,1074,1025,1057,1068,941,2648,0,0,1,0,61,15925,108,0,0,0,16095,0,0,0,16095,245,842,117,20,14871,12595,2481,112,907,261,7134,2482,2239,132,47,377,275,71,2027,143,907,127,5614,8371,1983
1.0,212,5,Antioquia,13355,13738,516,1,4,52,6512,9677,6979,1534,329,108,24731,391,14,3,4122,5630,6666,5225,3496,239.0,199.0,1.0,1.0,25.0,6.0,19.0,84.0,304.0,37084,39395,3521,4044,4919,5875,7047,6619,6085,5759,4766,5329,5787,5056,11672,52,5,4,1,679,74941,797,20,38,3,76418,11,47,3,76418,1806,5153,1031,378,68111,69567,2575,816,3521,1498,17349,11951,19762,788,294,9713,7462,1610,1547,984,3521,951,38656,28943,7929
1.0,234,5,Antioquia,5858,841,175,574,35,165,2826,2406,1020,239,56,16,6427,128,7,1,1244,1189,1259,1210,1661,94.0,56.0,0.0,0.0,20.0,0.0,21.0,35.0,74.0,11546,11171,2298,2456,2679,2318,1897,1755,1531,1266,1168,1044,1027,860,2418,4747,0,0,0,116,17601,253,4202,380,160,17975,497,3906,339,17975,129,522,58,14,21994,16086,4158,175,2298,515,8591,3217,2780,110,47,769,421,117,3542,310,2298,297,7586,10061,4773
1.0,237,5,Antioquia,4503,1986,78,0,0,5,1217,1663,1576,210,50,5,4670,51,0,0,837,1099,1166,943,676,33.0,18.0,0.0,0.0,1.0,0.0,5.0,12.0,33.0,6563,7645,861,993,1208,1317,1309,1161,1075,1035,866,863,880,777,1863,0,0,0,0,64,14113,31,0,0,0,14208,0,0,0,14208,51,238,40,12,13867,12729,570,48,861,292,5020,2874,3051,111,51,852,525,104,385,82,861,269,6430,5610,1899
1.0,240,5,Antioquia,4805,359,170,0,0,15,1487,1562,619,131,28,2,3708,118,2,1,991,949,885,568,436,74.0,52.0,0.0,0.0,1.0,1.0,4.0,22.0,98.0,5285,5053,466,633,787,856,600,595,546,618,632,710,793,759,2343,2,1,0,0,47,10230,58,0,3,0,10335,0,3,0,10335,201,942,167,68,8960,8546,1248,78,466,191,4976,1426,1493,78,33,326,218,82,958,91,466,113,3990,5121,1114
1.0,250,5,Antioquia,13506,2393,1070,41,9,39,4564,5671,2331,380,73,111,12835,283,9,3,1872,2246,2659,2630,3723,173.0,137.0,1.0,1.0,30.0,5.0,23.0,76.0,176.0,23851,23791,4288,5235,5932,5185,3922,3783,3538,2994,2328,2331,2221,1891,3994,880,4,4,1,2211,44339,203,274,615,0,46753,217,672,0,46753,88,1077,200,61,46216,37472,5609,273,4288,1383,16932,9277,7505,218,101,1922,1083,222,4320,391,4288,568,15949,21509,9616
1.0,264,5,Antioquia,2865,989,48,0,0,5,732,1103,786,156,22,4,2760,42,1,0,431,542,739,674,417,25.0,19.0,0.0,0.0,5.0,0.0,2.0,10.0,27.0,4408,4412,595,600,785,783,816,715,655,677,610,604,533,444,1003,7,0,0,0,31,8739,43,4,3,0,8813,4,3,0,8813,147,427,69,9,8168,7847,325,53,595,190,3043,1514,2002,122,17,624,400,81,164,68,595,73,3923,3589,1235
2.0,266,5,Antioquia,26193,54215,1036,4,1,62,18448,22964,25939,5465,1302,395,73721,768,13,11,13973,19162,19162,14201,8015,448.0,414.0,1.0,2.0,88.0,3.0,18.0,142.0,610.0,97955,114482,8108,9235,10601,13008,16273,16945,16845,17077,14134,14401,17444,16290,42076,99,16,11,6,1386,208201,2718,62,65,4,212306,20,104,7,212306,3350,6087,1270,503,201227,198512,3113,2704,8108,2846,31127,25370,43031,2425,1009,25334,48091,19026,2895,3175,8108,3279,118940,72053,18165
5.0,282,5,Antioquia,8015,779,343,1,1,10,2367,2641,1270,303,91,4,6487,179,6,4,1540,1593,1578,1132,833,108.0,98.0,0.0,0.0,5.0,0.0,17.0,43.0,141.0,9415,9375,856,1016,1412,1475,1304,1200,1183,1251,1140,1282,1418,1370,3883,15,0,1,1,157,18558,58,3,14,0,18773,3,14,0,18773,416,1603,351,123,16297,16265,1584,85,856,301,7927,3266,3446,182,255,636,440,179,1187,115,856,194,8009,8669,1918
1.0,284,5,Antioquia,6229,541,62,604,5,8,2446,2149,1071,236,55,10,5842,120,5,0,1116,1218,1193,1059,1381,84.0,46.0,0.0,0.0,6.0,0.0,8.0,37.0,79.0,10175,9981,1840,1930,2042,1999,1635,1441,1231,1201,1125,1024,1110,998,2580,3812,0,1,0,104,16040,199,3414,339,24,16379,660,2982,135,16379,319,434,56,12,19335,15179,2931,206,1840,453,7744,2880,2751,162,235,681,439,207,2430,334,1840,271,7090,8983,3812
1.0,306,5,Antioquia,1948,290,82,0,0,4,566,827,243,39,10,0,1668,17,0,0,295,404,415,308,263,9.0,8.0,0.0,0.0,3.0,0.0,0.0,6.0,8.0,2605,2452,367,412,479,473,398,383,378,383,293,257,280,225,729,0,0,0,0,15,5024,18,0,0,0,5057,0,0,0,5057,103,482,50,7,4415,4339,328,23,367,57,2212,832,1047,69,6,93,91,28,212,43,367,51,1874,2353,779
1.0,308,5,Antioquia,9750,7738,308,2,3,118,3805,5771,4511,1097,216,48,15176,264,8,0,2474,3096,4091,3307,2480,157.0,123.0,0.0,1.0,7.0,1.0,12.0,59.0,200.0,24105,24940,2430,2754,3324,3917,4379,4346,3835,3700,3184,3349,3600,3024,7203,46,0,3,1,2975,45628,392,12,36,1,48996,3,45,1,48996,764,3474,603,159,44045,44193,2025,397,2430,663,13031,7864,13138,339,93,5276,3863,628,1240,480,2430,493,22675,20050,5827
1.0,310,5,Antioquia,3893,518,59,0,2,4,1034,1206,566,134,50,4,2939,52,2,1,792,719,650,461,372,42.0,17.0,0.0,0.0,0.0,0.0,7.0,17.0,35.0,4149,4086,420,531,672,658,529,526,546,575,488,549,603,534,1604,1,0,0,0,66,8109,59,0,1,0,8234,0,1,0,8234,122,467,103,27,7516,7231,538,46,420,163,3586,1339,1489,94,14,470,162,62,372,64,420,93,3221,3947,974
1.0,313,5,Antioquia,5018,1334,15,30,1,8,1430,1247,460,68,20,28,3205,46,2,0,776,806,668,530,473,32.0,18.0,0.0,0.0,3.0,0.0,1.0,12.0,34.0,4565,4639,736,766,856,822,706,622,579,555,499,511,548,493,1511,117,0,0,1,163,8838,85,97,21,0,9086,3,107,8,9086,127,721,107,19,8230,7559,811,98,736,294,4294,1519,1182,108,24,249,206,65,395,132,736,178,3443,4080,1503
1.0,315,5,Antioquia,1756,322,57,0,4,4,670,832,274,63,5,12,1837,19,0,0,379,415,473,331,258,10.0,9.0,0.0,0.0,1.0,0.0,0.0,5.0,13.0,2781,2671,324,387,492,531,442,421,386,406,349,339,300,312,763,5,0,0,0,29,5395,23,4,1,0,5447,0,5,0,5447,25,174,18,1,5234,4511,591,26,324,126,2356,863,785,159,12,241,85,26,431,44,324,53,1861,2827,711
1.0,318,5,Antioquia,16002,4677,411,2,1,51,3699,4975,3433,829,240,44,12988,224,7,1,2073,2827,3248,2784,2288,148.0,93.0,0.0,0.0,16.0,0.0,13.0,49.0,163.0,21065,21435,2238,2430,2599,3343,3933,3574,3259,3321,2779,2725,2854,2550,6895,40,0,2,1,190,41999,268,9,33,0,42458,8,34,0,42458,697,3123,677,236,37767,38175,1793,294,2238,832,12268,6258,11524,368,82,3827,2937,680,1121,365,2238,487,19483,17411,5119
1.0,321,5,Antioquia,3050,589,35,0,0,7,657,828,794,148,43,4,2425,46,3,0,544,592,561,483,294,34.0,18.0,0.0,0.0,3.0,0.0,3.0,11.0,35.0,3422,3616,413,410,520,543,610,557,504,502,441,446,490,420,1182,4,0,0,0,29,6925,80,0,4,0,7034,0,4,0,7034,78,252,48,37,6623,6351,193,81,413,91,2107,1072,1515,50,128,772,542,107,135,106,413,102,3298,2776,862
