CodDepartamento,CodCiudad,Departamento,Ciudad,Ano,Trimestre,PIB
23,001,Cordoba,Monteria,2019,2,4076
18,001,Caqueta,Florencia,2019,2,1512
47,001,Magdalena,Santa Marta,2019,2,4325
66,001,Risaralda,Pereira,2019,2,6928
70,001,Sucre,Sincelejo,2019,2,2273
52,001,Narino,Pasto,2019,2,3150
68,001,Santander,Bucaramanga,2019,2,15044
08,001,Atlantico,Barranquilla,2019,2,18230
13,001,Bolivar,Cartagena,2019,2,15037
88,001,Archipielago de San Andres,San Andres,2019,2,1277
44,001,Guajira,Riohacha,2019,3,1890
54,001,Norte de Santander,Cucuta,2019,3,6485
27,001,Choco,Quibdo,2019,3,805
73,001,Tolima,Ibague,2019,3,7432
41,001,Huila,Neiva,2019,3,4466
20,001,Cesar,Valledupar,2019,3,6828
11,001,Bogota D.C,Bogota D.C,2019,3,229314
15,001,Boyaca,Tunja,2019,3,3400
50,001,Meta,Villavicencio,2019,3,15774
19,001,Cauca,Popayan,2019,3,3401
17,001,Caldas,Manizales,2019,3,6029
76,001,Valle del Cauca,Cali,2019,3,43282
63,001,Quindio,Armenia,2019,3,3818
05,001,Antioquia,Medellin,2019,3,49166
23,001,Cordoba,Monteria,2019,3,4076
18,001,Caqueta,Florencia,2019,3,1512
47,001,Magdalena,Santa Marta,2019,3,4325
66,001,Risaralda,Pereira,2019,3,6928
70,001,Sucre,Sincelejo,2019,3,2273
52,001,Narino,Pasto,2019,3,3150
68,001,Santander,Bucaramanga,2019,3,15044
08,001,Atlantico,Barranquilla,2019,3,18230
13,001,Bolivar,Cartagena,2019,3,15037
88,001,Archipielago de San Andres,San Andres,2019,3,1277
44,001,Guajira,Riohacha,2019,4,1890
54,001,Norte de Santander,Cucuta,2019,4,6485
27,001,Choco,Quibdo,2019,4,805
73,001,Tolima,Ibague,2019,4,7432
41,001,Huila,Neiva,2019,4,4466
20,001,Cesar,Valledupar,2019,4,6828
11,001,Bogota D.C,Bogota D.C,2019,4,229314
15,001,Boyaca,Tunja,2019,4,3400
50,001,Meta,Villavicencio,2019,4,15774
19,001,Cauca,Popayan,2019,4,3401
17,001,Caldas,Manizales,2019,4,6029
76,001,Valle del Cauca,Cali,2019,4,43282
63,001,Quindio,Armenia,2019,4,3818
05,001,Antioquia,Medellin,2019,4,49166
23,001,Cordoba,Monteria,2019,4,4076
18,001,Caqueta,Florencia,2019,4,1512
47,001,Magdalena,Santa Marta,2019,4,4325
66,001,Risaralda,Pereira,2019,4,6928
70,001,Sucre,Sincelejo,2019,4,2273
52,001,Narino,Pasto,2019,4,3150
68,001,Santander,Bucaramanga,2019,4,15044
08,001,Atlantico,Barranquilla,2019,4,18230
13,001,Bolivar,Cartagena,2019,4,15037
88,001,Archipielago de San Andres,San Andres,2019,4,1277
