Temperatura,Trimestre,Ano,Ciudad
25.45175530303031,3,2020,Sanandres
25.6583875,4,2020,Sanandres
26.667411166805906,1,2021,Sanandres
28.11120442520442,2,2021,Sanandres
23.8493696969697,3,2021,Sanandres
25.257434188034182,4,2021,Sanandres
24.538558974358978,1,2019,Santamarta
21.566787581699344,2,2019,Santamarta
22.288756292906186,3,2019,Santamarta
20.296966767676764,4,2019,Santamarta
25.002125067096085,1,2020,Santamarta
23.068985750360756,2,2020,Santamarta
20.676671428571428,3,2020,Santamarta
20.639400909090906,4,2020,Santamarta
23.43381932098765,1,2021,Santamarta
22.109008994709,2,2021,Santamarta
21.63604138018844,3,2021,Santamarta
21.529403623188404,4,2021,Santamarta
36.99535370370371,1,2019,Sincelejo
33.91250833333333,2,2019,Sincelejo
30.74271428571429,3,2019,Sincelejo
30.06093703703704,4,2019,Sincelejo
36.87029555422647,1,2020,Sincelejo
33.34297619047619,2,2020,Sincelejo
30.02049523809524,3,2020,Sincelejo
29.184565217391306,4,2020,Sincelejo
35.47307602339182,1,2021,Sincelejo
30.708801587301593,2,2021,Sincelejo
27.98692698412698,3,2021,Sincelejo
28.87277922077922,4,2021,Sincelejo
22.897219032429557,1,2019,Tunja
18.587380341880344,2,2019,Tunja
19.35180634920636,3,2019,Tunja
21.441724867724872,4,2019,Tunja
24.942070194700626,1,2020,Tunja
21.43332517482517,2,2020,Tunja
18.878614814814814,3,2020,Tunja
19.421208333333336,4,2020,Tunja
22.041902777777786,1,2021,Tunja
19.491216666666666,2,2021,Tunja
17.808468253968254,3,2021,Tunja
20.445150560347358,4,2021,Tunja
31.533377283950625,1,2019,Valledupar
25.719883094098893,2,2019,Valledupar
25.525899585326954,3,2019,Valledupar
23.10233299077733,4,2019,Valledupar
31.57499014109347,1,2020,Valledupar
24.425023809523807,2,2020,Valledupar
22.36936257309941,3,2020,Valledupar
24.34462431372549,4,2020,Valledupar
30.231502952227586,1,2021,Valledupar
24.526392156862745,2,2021,Valledupar
23.87680980392157,3,2021,Valledupar
24.85753333333333,4,2021,Valledupar
31.2148,1,2019,Villavicencio
25.999174603174605,2,2019,Villavicencio
26.294417989417987,3,2019,Villavicencio
27.479976068376068,4,2019,Villavicencio
28.885348214285717,1,2020,Villavicencio
25.895680555555558,2,2020,Villavicencio
25.7984858974359,3,2020,Villavicencio
25.90922393162393,4,2020,Villavicencio
28.580453781512603,1,2021,Villavicencio
22.87139502164502,2,2021,Villavicencio
24.068472222222233,3,2021,Villavicencio
27.394223611111126,4,2021,Villavicencio
