Precipitacion,Trimestre,Ano,Ciudad
4.750038961038961,1,2019,Villavicencio
20.794363636363638,2,2019,Villavicencio
19.199233686067018,3,2019,Villavicencio
10.493466666666665,4,2019,Villavicencio
5.566989976689977,1,2020,Villavicencio
18.96346352413019,2,2020,Villavicencio
16.455239011082696,3,2020,Villavicencio
10.364421652421653,4,2020,Villavicencio
6.299634048821549,1,2021,Villavicencio
21.517410714285717,2,2021,Villavicencio
20.065377290448346,3,2021,Villavicencio
7.209598776223776,4,2021,Villavicencio
